T001,C101,2023-11-19 03:32:51,12.0
T002,C100,2024-05-10 03:34:05,1.0
T003,C100,2024-05-10 03:34:14,2.0
T004,C100,2024-05-10 05:08:06,10000.0
T005,C100,2024-05-10 05:08:37,0.0
T006,C100,2024-05-10 05:11:18,900.0
T007,C100,2024-05-10 05:14:58,900.0
T008,C100,2024-05-10 05:15:41,0.0
T009,C100,2024-05-10 05:17:33,1000.0
T010,C100,2024-05-10 05:21:48,0.0
T011,C100,2024-05-10 05:26:40,10000.0
T012,C100,2024-05-10 05:28:40,1000.0
T013,C100,2024-05-10 05:31:34,900.0
T014,C100,2024-05-10 05:33:50,900.0
T015,C100,2024-05-10 15:37:45,50.0
T016,C100,2024-05-11 10:57:51,900.0
T017,C100,2024-05-11 11:01:04,1000000.0
T018,C100,2024-05-11 15:05:52,100.0
T019,C100,2024-05-11 15:45:50,300.0
T020,C100,2024-05-13 23:54:03,10000.0
T021,C100,2024-05-13 23:57:48,20.0
T022,C100,2024-05-13 23:59:46,900.0
T023,C100,2024-05-14 10:10:46,1000.0
T024,C100,2024-05-14 10:11:20,10.0
T025,C100,2024-05-14 10:11:50,10000.0
T026,C100,2024-05-14 10:15:17,100.0
T027,C100,2024-05-14 10:15:52,111.0
T028,C100,2024-05-14 10:16:38,20.0
T029,C100,2024-05-14 10:16:50,1.0E11
T030,C100,2024-05-14 10:17:02,1.0E8
T031,C100,2024-05-14 10:18:33,1000.0
T032,C100,2024-05-14 10:20:32,100.0
T033,C100,2024-05-14 11:59:03,100.0
T034,C100,2024-05-14 12:07:11,10000.0
T035,C100,2024-05-14 12:19:19,10.0
T036,C100,2024-05-14 12:24:20,100.0
T037,C100,2024-05-14 12:31:31,100.0
T038,C100,2024-05-14 12:31:41,100.0
T039,C100,2024-05-14 12:34:07,100.0
T040,C100,2024-05-14 12:35:07,100.0
T041,C100,2024-05-14 12:37:36,100.0
T042,C100,2024-05-14 12:38:07,10.0
T043,C100,2024-05-18 15:11:55,10.0
T044,C100,2024-05-18 16:19:36,1000.0
T045,C100,2024-05-18 16:20:02,1000.0
T046,C100,2024-05-18 16:22:49,100.0
T047,C100,2024-05-18 16:23:21,800.0
